1.0010,1.0135,1.0000
1.0017,1.0270,1.0000
1.0023,1.0406,1.0000
1.0031,1.0541,1.0000
1.0040,1.0677,1.0001
1.0048,1.0813,1.0001
1.0058,1.0948,1.0001
1.0067,1.1084,1.0002
1.0078,1.1220,1.0003
1.0090,1.1356,1.0003
1.0102,1.1493,1.0004
1.0115,1.1629,1.0005
1.0128,1.1766,1.0006
1.0142,1.1903,1.0007
1.0157,1.2040,1.0008
1.0172,1.2177,1.0009
1.0187,1.2315,1.0010
1.0204,1.2452,1.0011
1.0221,1.2590,1.0012
1.0239,1.2728,1.0014
1.0257,1.2867,1.0015
1.0276,1.3005,1.0017
1.0295,1.3144,1.0019
1.0315,1.3283,1.0020
1.0336,1.3423,1.0022
1.0358,1.3562,1.0024
1.0379,1.3702,1.0026
1.0402,1.3843,1.0028
1.0424,1.3983,1.0030
1.0449,1.4124,1.0033
1.0473,1.4265,1.0035
1.0498,1.4407,1.0038
1.0524,1.4548,1.0040
1.0549,1.4691,1.0043
1.0576,1.4833,1.0045
1.0604,1.4976,1.0048
1.0631,1.5119,1.0051
1.0660,1.5263,1.0054
1.0689,1.5407,1.0057
1.0719,1.5551,1.0061
1.0749,1.5696,1.0064
1.0780,1.5841,1.0067
1.0812,1.5987,1.0071
1.0843,1.6133,1.0074
1.0876,1.6280,1.0078
1.0909,1.6427,1.0082
1.0943,1.6574,1.0086
1.0978,1.6722,1.0090
1.1012,1.6870,1.0094
1.1048,1.7019,1.0098
1.1084,1.7168,1.0103
1.1121,1.7318,1.0107
1.1159,1.7468,1.0112
1.1196,1.7619,1.0116
1.1235,1.7770,1.0121
1.1274,1.7922,1.0126
1.1314,1.8074,1.0131
1.1353,1.8227,1.0136
1.1395,1.8380,1.0141
1.1437,1.8534,1.0147
1.1478,1.8689,1.0152
1.1521,1.8844,1.0158
1.1564,1.8999,1.0164
1.1608,1.9155,1.0170
1.1653,1.9312,1.0176
1.1697,1.9470,1.0182
1.1743,1.9628,1.0188
1.1789,1.9786,1.0195
1.1836,1.9945,1.0201
1.1884,2.0105,1.0208
1.1931,2.0266,1.0215
1.1980,2.0427,1.0222
1.2029,2.0588,1.0229
1.2079,2.0751,1.0236
1.2128,2.0914,1.0244
1.2180,2.1078,1.0251
1.2232,2.1242,1.0259
1.2283,2.1407,1.0267
1.2336,2.1573,1.0275
1.2389,2.1740,1.0283
1.2443,2.1907,1.0291
1.2498,2.2075,1.0300
1.2553,2.2244,1.0308
1.2609,2.2413,1.0317
1.2665,2.2583,1.0326
1.2722,2.2754,1.0335
1.2780,2.2926,1.0345
1.2837,2.3098,1.0354
1.2897,2.3272,1.0364
1.2955,2.3446,1.0374
1.3016,2.3621,1.0384
1.3077,2.3796,1.0394
1.3137,2.3973,1.0404
1.3199,2.4150,1.0415
1.3261,2.4328,1.0425
1.3325,2.4507,1.0436
1.3389,2.4687,1.0447
1.3452,2.4867,1.0459
1.3518,2.5049,1.0470
1.3583,2.5231,1.0482
1.3649,2.5414,1.0494
1.3716,2.5598,1.0506
1.3783,2.5783,1.0518
1.3852,2.5969,1.0531
1.3921,2.6156,1.0544
1.3989,2.6344,1.0557
1.4060,2.6533,1.0570
1.4130,2.6722,1.0583
1.4201,2.6913,1.0597
1.4273,2.7104,1.0610
1.4345,2.7297,1.0625
1.4419,2.7490,1.0639
1.4493,2.7684,1.0653
1.4567,2.7880,1.0668
1.4642,2.8076,1.0683
1.4718,2.8274,1.0698
1.4794,2.8472,1.0714
1.4872,2.8671,1.0729
1.4949,2.8872,1.0745
1.5027,2.9073,1.0762
1.5107,2.9276,1.0778
1.5186,2.9479,1.0795
1.5267,2.9684,1.0812
1.5348,2.9890,1.0829
1.5429,3.0096,1.0847
1.5512,3.0304,1.0864
1.5595,3.0513,1.0883
1.5679,3.0723,1.0901
1.5763,3.0934,1.0920
1.5849,3.1147,1.0938
1.5934,3.1360,1.0958
1.6021,3.1575,1.0977
1.6109,3.1790,1.0997
1.6197,3.2007,1.1017
1.6285,3.2225,1.1038
1.6374,3.2445,1.1058
1.6465,3.2665,1.1079
1.6555,3.2887,1.1101
1.6647,3.3109,1.1122
1.6739,3.3333,1.1144
1.6832,3.3559,1.1167
1.6925,3.3785,1.1190
1.7020,3.4013,1.1213
1.7116,3.4242,1.1236
1.7211,3.4472,1.1260
1.7308,3.4704,1.1284
1.7405,3.4936,1.1308
1.7502,3.5170,1.1333
1.7602,3.5406,1.1358
1.7701,3.5642,1.1383
1.7802,3.5880,1.1409
1.7902,3.6120,1.1436
1.8004,3.6360,1.1462
1.8107,3.6602,1.1489
1.8211,3.6846,1.1517
1.8314,3.7090,1.1544
1.8419,3.7337,1.1573
1.8525,3.7584,1.1601
1.8632,3.7833,1.1630
1.8738,3.8083,1.1660
1.8847,3.8335,1.1690
1.8956,3.8588,1.1720
1.9066,3.8842,1.1751
1.9176,3.9098,1.1782
1.9287,3.9356,1.1814
1.9399,3.9615,1.1846
1.9512,3.9875,1.1878
