0.452856,177221306157683145888267538353052712960.000000,178288769375123333302679882188235735040.000000,238730816489426195154462441807342993408.000000,162270178624375326164430881935694233600.000000,0.448678
0.452856,245712691194520020619509075959282139136.000000,78222063727079998307999258909582819328.000000,94774700463896955754346002262110765056.000000,264403925482355613847027241434658897920.000000,0.459716
0.452856,233120925099561783283573295521395113984.000000,73271345578731864812970792303617638400.000000,65834090213216852043565694465804861440.000000,6579062881238802719853537999640854528.000000,0.448683
0.452856,111479800073704562807269557102555693056.000000,127712593352276735236865864275928809472.000000,94677142073703391219606815983425028096.000000,9928268023125997807683713180326952960.000000,0.449442
0.452856,283523098330418653668820269964919308288.000000,61823553020841189905204090719577309184.000000,16591741222532797866924113653007384576.000000,38015454691087950067920891735919558656.000000,0.460423
0.452856,69200995560435033898528968113347624960.000000,4777199915800343055150145251982704640.000000,42267469181602288081432405469145595904.000000,135035080703049485029177056592339664896.000000,0.455998
0.452856,298405661178061328920788772699305410560.000000,232823889210916304570214588026311409664.000000,314164140166847305211685861427729399808.000000,52800461683838261241609011185026334720.000000,0.444394
0.452856,209746989494483110646926308405359411200.000000,42970525951597267302714098020692000768.000000,229745546775731675943290417909627617280.000000,226338730717015908513850422058366795776.000000,0.441901
0.452856,249890583619137813603456274462683430912.000000,259282231691651097683242505487165423616.000000,120849391025773875695469745491264143360.000000,292158050265438901228429876938422616064.000000,0.460297
0.452856,136164405269780810038382439543945035776.000000,132063910520210551828773023751451181056.000000,313566579815104519697655527510340796416.000000,110046188656894453612528905513531867136.000000,0.456832
0.452856,24032817286956898519745322554281164800.000000,16596027149212169510530574006544760832.000000,176328697593436039524580043771206434816.000000,253778356456784973093659331483689549824.000000,0.452258
0.452856,22858197028978218417565659403741298688.000000,107535043806275943949010420279061512192.000000,238267809642994034822024573954985820160.000000,143707585519450893656576601901599031296.000000,0.457855
0.452856,99551998939531466554332113882767687680.000000,37897720373941153034027483929017057280.000000,241635399521536339920864655822259486720.000000,72836227045504725527365851921778737152.000000,0.460573
